skincare,CeraVe,2005,21,,,DRAFT — verify
skincare,Cetaphil,1947,79,,,DRAFT — verify
skincare,Neutrogena,1930,96,,,DRAFT — verify
skincare,La Roche-Posay,1975,51,,,"DRAFT — verify; spring/spa older but modern skincare brand from 1975"
skincare,Vanicream,1976,50,,,DRAFT — verify
skincare,Skinceuticals,1997,29,,,DRAFT — verify
skincare,Eucerin,1900,126,,,DRAFT — verify
skincare,Paula's Choice,1995,31,,,DRAFT — verify
skincare,Drunk Elephant,2013,13,,,DRAFT — verify
skincare,Tatcha,2009,17,,,DRAFT — verify
skincare,The Ordinary,2016,10,,,"DRAFT — verify; Deciem parent founded 2013, The Ordinary line 2016"
skincare,EltaMD,1989,37,,,DRAFT — verify
skincare,Bioderma,1977,49,,,DRAFT — verify
skincare,Avène,1990,36,,,"DRAFT — verify; spring known earlier but brand from ~1990"
skincare,Aveeno,1945,81,,,DRAFT — verify
skincare,First Aid Beauty,2009,17,,,DRAFT — verify
skincare,Augustinus Bader,2018,8,,,DRAFT — verify
skincare,Youth to the People,2015,11,,,DRAFT — verify
skincare,La Mer,1965,61,,,DRAFT — verify
skincare,Estée Lauder,1946,80,,,DRAFT — verify
skincare,Lancôme,1935,91,,,DRAFT — verify
skincare,Clinique,1968,58,,,DRAFT — verify
skincare,Kiehl's,1851,175,,,DRAFT — verify
skincare,Sunday Riley,2009,17,,,DRAFT — verify
skincare,SK-II,1980,46,,,DRAFT — verify
skincare,Olay,1952,74,,,DRAFT — verify
skincare,Origins,1990,36,,,DRAFT — verify
skincare,Dermalogica,1986,40,,,DRAFT — verify
skincare,Murad,1989,37,,,DRAFT — verify
skincare,Glossier,2014,12,,,DRAFT — verify
skincare,Beauty of Joseon,2010,16,,,DRAFT — verify
finance,Mint,2006,20,,,"DRAFT — verify; founded 2006, acquired by Intuit 2009, shut down Sept 2025"
finance,Quicken,1983,43,,,DRAFT — verify
finance,Quicken Simplifi,2021,5,,,"DRAFT — verify; Intuit/Quicken Inc. modern subscription product launched 2021"
finance,YNAB,2004,22,,,"DRAFT — verify; You Need A Budget"
finance,Empower,2009,17,,,"DRAFT — verify; originally Personal Capital founded 2009, rebranded Empower 2023"
finance,NerdWallet,2009,17,,,DRAFT — verify
finance,Rocket Money,2015,11,,,"DRAFT — verify; originally Truebill founded 2015, acquired by Rocket Companies 2021, rebranded 2022"
finance,PocketGuard,2014,12,,,DRAFT — verify
finance,Goodbudget,2009,17,,,"DRAFT — verify; originally EEBA founded 2009, renamed Goodbudget circa 2012"
finance,EveryDollar,2015,11,,,"DRAFT — verify; Ramsey Solutions product"
finance,Monarch Money,2018,8,,,DRAFT — verify
finance,Copilot,2020,6,,,"DRAFT — verify; Copilot Money"
finance,Lunch Money,2018,8,,,DRAFT — verify
finance,Origin,2019,7,,,"DRAFT — verify; Origin Financial"
finance,Cleo,2016,10,,,DRAFT — verify
finance,Tiller,2017,9,,,"DRAFT — verify; Tiller Money"
